timestamp,Pixels drawn,Frames drawn,Network bytes read,Network bytes written,Network sockets,Timers,Files,Poco display list used,Piu command List used,SPI flash erases,System bytes free,CPU 0,CPU 1,Chunk used,Chunk available,Slot used,Slot available,Stack used,Stack available,Garbage collections,Keys used,Modules loaded,Parser used,Floating Point
1701088753, 0,0,0,0,0,3,0,0,0,0,88972,3,23,4912,5376,2288,8192,2208,9600,3,0,0,0,3
1701088754, 0,1,0,0,0,4,0,0,136,0,87492,25,24,7116,7356,9520,10240,4912,9600,43,1,0,0,6
1701088755, 76800,1,0,0,0,6,0,32,168,0,70272,26,17,7288,7356,9232,10240,2880,9600,3,1,0,0,4
1701088757, 76800,1,0,0,0,13,0,32,168,0,67620,33,14,7300,7644,10000,11264,1952,9600,1,4,0,0,2
1701088758, 0,0,0,0,0,13,0,0,0,0,67620,0,0,7312,7644,10240,11264,1008,9600,0,4,0,0,0
1701088759, 0,0,0,0,0,13,0,0,0,0,67620,0,0,7324,7644,10480,11264,1008,9600,0,4,0,0,0
1701088760, 0,0,0,0,0,13,0,0,0,0,67620,1,0,7336,7644,10800,11264,1328,9600,0,4,0,0,0
1701088765, 153600,2,0,0,0,14,0,32,168,0,64784,77,53,10016,10308,13120,13312,4912,9600,53,8,0,0,18
1701088766, 0,0,0,0,0,14,0,0,0,0,64784,1,1,9660,10308,13200,13312,1152,9600,2,8,0,0,0
1701088767, 0,0,0,0,0,14,0,0,0,0,64784,1,1,9972,10308,11872,13312,1152,9600,2,8,0,0,0
1701088768, 0,0,0,0,0,14,0,0,0,0,64784,1,1,10284,10308,13184,13312,1152,9600,1,8,0,0,0
1701088769, 0,0,0,0,0,14,0,0,0,0,64784,1,1,9900,10308,11872,13312,1152,9600,2,8,0,0,0
1701088770, 0,0,0,0,0,14,0,0,0,0,64784,1,1,10212,10308,13200,13312,1328,9600,1,8,0,0,0
1701088771, 0,0,0,0,0,14,0,0,0,0,64784,1,1,9852,10308,11888,13312,1152,9600,3,8,0,0,0
1701088772, 0,0,0,0,0,14,0,0,0,0,64784,1,1,10164,10308,13200,13312,1152,9600,1,8,0,0,0
1701088773, 0,0,0,0,0,14,0,0,0,0,64784,0,1,9804,10308,13216,13312,1152,9600,2,8,0,0,0
1701088774, 0,0,0,0,0,14,0,0,0,0,64784,1,1,10116,10308,11888,13312,1152,9600,2,8,0,0,0
1701088775, 0,0,0,0,0,14,0,0,0,0,64784,2,0,9756,10308,13216,13312,1328,9600,1,8,0,0,0
1701088776, 0,0,0,0,0,14,0,0,0,0,64784,1,1,10068,10308,11888,13312,1152,9600,2,8,0,0,0
1701088777, 0,0,0,0,0,14,0,0,0,0,64784,0,1,9696,10308,12976,13312,1152,9600,1,8,0,0,0
1701088778, 0,0,0,0,0,14,0,0,0,0,64784,1,1,10008,10308,13232,13312,1152,9600,1,8,0,0,0
